Территория/Регион,Health,Housing Quality,Leisure Time,Life,Living Condition,Professional Wellbeing,Financial Situation
Акмолинская область,3,6,4,6,7,6,5
Атырауская область,3,6,4,6,7,7,4
Мангистауская область,3,6,4,6,9,10,1
Карагандинская область,3,6,4,7,8,8,6
Актюбинская область,3,6,4,7,9,7,5
Западно - Казахстанская область,3,6,4,8,6,8,8
Жамбылская область,3,6,4,8,8,7,9
Павлодарская область,3,6,4,8,8,89,6
Жамбылская область,3,6,4,9,3,8,9
Карагандинская область,3,6,4,9,9,9,10
Акмолинская область,3,6,4,9,10,6,5
Мангистауская область,3,6,4,10,10,10,5
Актюбинская область,3,6,5,4,6,8,6
г. Шымкент,3,6,5,4,7,6,89
Северо-Казахстанская область,3,6,5,4,89,4,5
Павлодарская область,3,6,5,5,7,7,6
г. Астана,3,6,5,5,8,8,5
г. Астана,3,6,5,6,6,6,3
Актюбинская область,3,6,5,6,9,89,4
Костанайская область,3,6,5,7,7,7,89
г. Алматы,3,6,5,7,7,9,7
Костанайская область,3,6,5,7,7,9,8
г. Шымкент,3,6,5,7,7,10,5
Павлодарская область,3,6,5,7,9,7,7
Кызылординская область,3,6,5,7,9,7,8
Абайская область,3,6,5,7,9,89,7
Павлодарская область,3,6,5,9,9,8,9
Павлодарская область,3,6,5,10,9,89,6
Актюбинская область,3,6,6,5,7,8,4
Восточно-Казахстанская область,3,6,6,5,10,89,9
Павлодарская область,3,6,6,6,3,5,89
Карагандинская область,3,6,6,6,7,7,7
Жамбылская область,3,6,6,7,7,10,6
Кызылординская область,3,6,6,7,8,7,9
Западно - Казахстанская область,3,6,6,7,8,9,9
Атырауская область,3,6,6,7,8,10,6
Ұлытау область,3,6,6,7,8,89,7
г. Астана,3,6,6,7,9,8,7
Туркестанская область,3,6,6,8,7,6,10
Северо-Казахстанская область,3,6,6,8,8,6,6
Кызылординская область,3,6,6,8,8,6,89
Костанайская область,3,6,6,8,8,10,9
г. Шымкент,3,6,6,10,7,8,6
Северо-Казахстанская область,3,6,6,10,7,10,5
Костанайская область,3,6,6,10,8,7,7
Северо-Казахстанская область,3,6,6,10,9,6,4
Актюбинская область,3,6,7,3,89,89,5
Кызылординская область,3,6,7,4,7,8,6
г. Алматы,3,6,7,4,10,10,4
Атырауская область,3,6,7,5,6,9,7
Западно - Казахстанская область,3,6,7,5,7,4,7
Костанайская область,3,6,7,5,9,10,4
Мангистауская область,3,6,7,6,5,89,1
Костанайская область,3,6,7,6,7,9,9
г. Алматы,3,6,7,6,9,8,6
Восточно-Казахстанская область,3,6,7,6,10,5,7
Атырауская область,3,6,7,7,8,8,7
Западно - Казахстанская область,3,6,7,7,8,89,10
Кызылординская область,3,6,7,7,9,7,10
Туркестанская область,3,6,7,7,9,8,5
Павлодарская область,3,6,7,7,10,8,6
Алматинская область,3,6,7,8,8,7,10
Туркестанская область,3,6,7,8,8,8,5
г. Алматы,3,6,7,8,8,10,6
Акмолинская область,3,6,7,8,8,89,7
Акмолинская область,3,6,7,8,8,89,8
Актюбинская область,3,6,7,8,10,6,7
Мангистауская область,3,6,7,9,3,8,10
Абайская область,3,6,7,9,6,6,7
Мангистауская область,3,6,7,9,7,9,5
г. Алматы,3,6,7,9,8,8,8
Карагандинская область,3,6,7,9,8,8,9
Северо-Казахстанская область,3,6,7,9,8,10,7
Туркестанская область,3,6,7,9,8,89,7
г. Алматы,3,6,7,9,9,10,7
г. Алматы,3,6,7,9,9,10,10
Павлодарская область,3,6,7,10,6,89,6
Восточно-Казахстанская область,3,6,7,10,8,7,7
г. Алматы,3,6,7,10,9,10,4
Абайская область,3,6,7,10,10,7,5
г. Шымкент,3,6,8,4,7,7,7
Восточно-Казахстанская область,3,6,8,5,8,8,6
Актюбинская область,3,6,8,5,10,9,9
Туркестанская область,3,6,8,6,4,5,5
Атырауская область,3,6,8,6,7,8,5
Западно - Казахстанская область,3,6,8,6,8,7,8
г. Шымкент,3,6,8,6,9,6,9
Восточно-Казахстанская область,3,6,8,7,5,6,9
Западно - Казахстанская область,3,6,8,7,6,9,5
г. Астана,3,6,8,7,8,9,5
Акмолинская область,3,6,8,7,9,89,7
Актюбинская область,3,6,8,7,9,89,7
Северо-Казахстанская область,3,6,8,8,5,6,5
г. Астана,3,6,8,8,6,6,9
Костанайская область,3,6,8,8,6,8,5
г. Астана,3,6,8,8,6,9,7
г. Шымкент,3,6,8,8,7,8,6
Туркестанская область,3,6,8,8,7,8,9
Павлодарская область,3,6,8,8,7,89,4
Актюбинская область,3,6,8,8,8,8,8
Северо-Казахстанская область,3,6,8,8,8,10,6
г. Алматы,3,6,8,8,8,89,6
Алматинская область,3,6,8,8,8,89,8
Северо-Казахстанская область,3,6,8,8,9,5,5
Северо-Казахстанская область,3,6,8,8,9,10,4
Северо-Казахстанская область,3,6,8,9,3,5,7
Акмолинская область,3,6,8,9,3,9,8
Кызылординская область,3,6,8,9,5,8,9
Павлодарская область,3,6,8,9,8,5,8
Восточно-Казахстанская область,3,6,8,9,8,8,9
Карагандинская область,3,6,8,10,5,8,8
Карагандинская область,3,6,8,10,6,8,5
г. Алматы,3,6,8,10,7,8,2
г. Шымкент,3,6,8,10,7,89,10
Западно - Казахстанская область,3,6,8,10,9,5,10
Мангистауская область,3,6,8,10,9,9,3
Северо-Казахстанская область,3,6,8,10,10,89,89
Актюбинская область,3,6,9,6,6,10,89
Акмолинская область,3,6,9,6,7,10,6
Алматинская область,3,6,9,7,7,5,8
Костанайская область,3,6,9,7,7,8,7
г. Шымкент,3,6,9,7,7,89,7
Западно - Казахстанская область,3,6,9,7,8,8,4
Западно - Казахстанская область,3,6,9,7,8,8,7
Алматинская область,3,6,9,7,9,6,6
г. Шымкент,3,6,9,7,9,89,8
Мангистауская область,3,6,9,8,8,8,6
Акмолинская область,3,6,9,8,8,9,7
Жамбылская область,3,6,9,8,9,10,7
Кызылординская область,3,6,9,8,9,10,8
Туркестанская область,3,6,9,9,5,3,10
Восточно-Казахстанская область,3,6,9,10,8,8,6
Северо-Казахстанская область,3,6,10,4,6,6,89
Атырауская область,3,6,10,4,7,6,6
Павлодарская область,3,6,10,4,7,10,4
г. Алматы,3,6,10,4,10,89,6
Павлодарская область,3,6,10,5,6,7,89
Восточно-Казахстанская область,3,6,10,5,7,6,89
Алматинская область,3,6,10,5,8,89,6
Западно - Казахстанская область,3,6,10,5,9,3,7
Акмолинская область,3,6,10,6,6,89,89
Восточно-Казахстанская область,3,6,10,6,7,8,7
Костанайская область,3,6,10,6,8,8,9
Восточно-Казахстанская область,3,6,10,7,7,89,6
г. Алматы,3,6,10,7,8,8,7
Акмолинская область,3,6,10,7,8,89,7
Туркестанская область,3,6,10,7,8,89,8
Северо-Казахстанская область,3,6,10,7,9,8,7
Мангистауская область,3,6,10,7,10,89,6
г. Шымкент,3,6,10,8,5,10,10
Северо-Казахстанская область,3,6,10,8,7,8,7
г. Алматы,3,6,10,8,8,6,8
г. Алматы,3,6,10,8,9,89,8
Атырауская область,3,6,10,8,10,6,6
Атырауская область,3,6,10,9,10,8,7
Павлодарская область,3,6,10,10,7,4,7
Алматинская область,3,6,10,10,10,89,10
Западно - Казахстанская область,3,6,89,10,10,89,4
Северо-Казахстанская область,3,7,1,5,3,89,10
Карагандинская область,3,7,1,8,8,89,9
Атырауская область,3,7,1,9,7,89,6
Жамбылская область,3,7,1,10,5,10,9
Актюбинская область,3,7,2,10,7,10,9
Карагандинская область,3,7,2,10,8,9,89
Костанайская область,3,7,3,5,7,9,6
Мангистауская область,3,7,3,8,10,89,5
Костанайская область,3,7,4,5,7,8,5
Карагандинская область,3,7,4,6,4,9,7
Кызылординская область,3,7,4,6,7,6,6
Кызылординская область,3,7,4,8,7,5,9
Актюбинская область,3,7,4,8,8,8,8
г. Шымкент,3,7,4,8,8,89,10
Актюбинская область,3,7,4,9,7,7,5
г. Алматы,3,7,4,9,7,10,5
Туркестанская область,3,7,4,9,8,10,4
Кызылординская область,3,7,5,2,6,5,5
Западно - Казахстанская область,3,7,5,4,7,5,6
Кызылординская область,3,7,5,5,9,89,7
Алматинская область,3,7,5,6,5,8,7
г. Алматы,3,7,5,6,6,7,7
Северо-Казахстанская область,3,7,5,6,7,9,9
Павлодарская область,3,7,5,7,4,7,6
Павлодарская область,3,7,5,7,5,9,10
Акмолинская область,3,7,5,7,6,7,8
Кызылординская область,3,7,5,7,6,9,6
Павлодарская область,3,7,5,7,7,8,7
Восточно-Казахстанская область,3,7,5,7,8,9,7
Западно - Казахстанская область,3,7,5,7,8,10,9
Акмолинская область,3,7,5,7,9,89,9
г. Алматы,3,7,5,9,8,10,6
г. Шымкент,3,7,5,10,5,4,5
Восточно-Казахстанская область,3,7,5,10,6,7,4
Мангистауская область,3,7,5,10,8,10,9
Туркестанская область,3,7,5,10,8,89,7
Карагандинская область,3,7,5,10,9,8,7
Жамбылская область,3,7,5,10,10,9,6
Кызылординская область,3,7,6,4,7,5,4
Карагандинская область,3,7,6,4,8,6,7
Акмолинская область,3,7,6,5,6,7,5
Акмолинская область,3,7,6,5,10,89,4
Восточно-Казахстанская область,3,7,6,6,5,10,10
г. Астана,3,7,6,6,7,5,5
Жамбылская область,3,7,6,6,8,6,7
Акмолинская область,3,7,6,7,5,8,6
г. Астана,3,7,6,7,5,9,10
Мангистауская область,3,7,6,7,6,6,9
Кызылординская область,3,7,6,7,7,9,8
г. Астана,3,7,6,7,8,5,7
Актюбинская область,3,7,6,7,8,7,4
Жамбылская область,3,7,6,7,8,9,9
Восточно-Казахстанская область,3,7,6,7,10,7,7
Мангистауская область,3,7,6,7,10,89,9
